"";"dOTU";"ShaOTU";"genus";"spp"
"93";"ASV_510_Chloroparvula_pacifica";"ASV_510";"Chloroparvula";"Chloroparvula_pacifica"
"94";"ASV_14_Bathycoccus_prasinos";"ASV_14";"Bathycoccus";"Bathycoccus_prasinos"
"95";"ASV_412_Paraphysomonas_imperforata";"ASV_412";"Paraphysomonas";"Paraphysomonas_imperforata"
"96";"ASV_63_Ostreococcus_lucimarinus";"ASV_63";"Ostreococcus";"Ostreococcus_lucimarinus"
"97";"ASV_1241_Chrysochromulina_sp.";"ASV_1241";"Chrysochromulina";"Chrysochromulina_sp."
"98";"ASV_4_Ostreococcus_lucimarinus";"ASV_4";"Ostreococcus";"Ostreococcus_lucimarinus"
"99";"ASV_2601_Chloroparvula_B3_sp.";"ASV_2601";"Chloroparvula";"Chloroparvula_B3_sp."
"100";"ASV_3447_Chrysophyceae_Clade-H_X_sp.";"ASV_3447";"Chrysophyceae_Clade-H_X";"Chrysophyceae_Clade-H_X_sp."
"101";"ASV_1388_Chloropicon_roscoffensis";"ASV_1388";"Chloropicon";"Chloropicon_roscoffensis"
"102";"ASV_181_Chloropicon_laureae";"ASV_181";"Chloropicon";"Chloropicon_laureae"
"103";"ASV_535_Chrysophyceae_Clade-H_X_sp.";"ASV_535";"Chrysophyceae_Clade-H_X";"Chrysophyceae_Clade-H_X_sp."
"104";"ASV_314_Chrysophyceae_Clade-H_X_sp.";"ASV_314";"Chrysophyceae_Clade-H_X";"Chrysophyceae_Clade-H_X_sp."
"105";"ASV_1054_Hemiselmis_sp._nucl";"ASV_1054";"Hemiselmis:nucl";"Hemiselmis_sp.:nucl"
"106";"ASV_1_Ostreococcus_lucimarinus";"ASV_1";"Ostreococcus";"Ostreococcus_lucimarinus"
"107";"ASV_1164_Pelagomonadaceae_clade_C_sp.";"ASV_1164";"Pelagomonadaceae_clade_C";"Pelagomonadaceae_clade_C_sp."
"108";"ASV_35_Ostreococcus_lucimarinus";"ASV_35";"Ostreococcus";"Ostreococcus_lucimarinus"
"109";"ASV_77_Minutocellus_polymorphus";"ASV_77";"Minutocellus";"Minutocellus_polymorphus"
"110";"ASV_1091_Pelagomonas_calceolata";"ASV_1091";"Pelagomonas";"Pelagomonas_calceolata"
"111";"ASV_452_Chloroparvula_pacifica";"ASV_452";"Chloroparvula";"Chloroparvula_pacifica"
"112";"ASV_99_Teleaulax_gracilis";"ASV_99";"Teleaulax";"Teleaulax_gracilis"
"113";"ASV_126_Detonula_pumila";"ASV_126";"Detonula";"Detonula_pumila"
"114";"ASV_51_Picochlorum_sp.";"ASV_51";"Picochlorum";"Picochlorum_sp."
"115";"ASV_577_Chlorodendrales_XX_sp.";"ASV_577";"Chlorodendrales_XX";"Chlorodendrales_XX_sp."
"116";"ASV_465_Parmales_env_3B_sp.";"ASV_465";"Parmales_env_3B";"Parmales_env_3B_sp."
"117";"ASV_298_Aureococcus_anophagefferens";"ASV_298";"Aureococcus";"Aureococcus_anophagefferens"
"118";"ASV_83_Teleaulax_sp.";"ASV_83";"Teleaulax";"Teleaulax_sp."
"119";"ASV_140_Pycnococcaceae_X_sp.";"ASV_140";"Pycnococcaceae_X";"Pycnococcaceae_X_sp."
"120";"ASV_18_Rhizosolenia_delicatula";"ASV_18";"Rhizosolenia";"Rhizosolenia_delicatula"
"121";"ASV_15_Micromonas_bravo_B1";"ASV_15";"Micromonas";"Micromonas_bravo_B1"
"122";"ASV_21_Micromonas_commoda_A2";"ASV_21";"Micromonas";"Micromonas_commoda_A2"
"123";"ASV_1480_Triparma_laevis_clade";"ASV_1480";"Triparma";"Triparma_laevis_clade"
"124";"ASV_2201_Rhodomonas_sp.";"ASV_2201";"Rhodomonas";"Rhodomonas_sp."
"125";"ASV_26_Micromonas_bravo_B1";"ASV_26";"Micromonas";"Micromonas_bravo_B1"
"126";"ASV_359_Ostreococcus_lucimarinus";"ASV_359";"Ostreococcus";"Ostreococcus_lucimarinus"
"127";"ASV_116_Pelagomonadales_clade_B1_sp.";"ASV_116";"Pelagomonadales_clade_B1";"Pelagomonadales_clade_B1_sp."
"128";"ASV_576_Parmales_env_3A_sp.";"ASV_576";"Parmales_env_3A";"Parmales_env_3A_sp."
"129";"ASV_84_Pycnococcaceae_X_sp.";"ASV_84";"Pycnococcaceae_X";"Pycnococcaceae_X_sp."
"130";"ASV_2098_Crustomastigaceae_X_sp.";"ASV_2098";"Crustomastigaceae_X";"Crustomastigaceae_X_sp."
"131";"ASV_382_Chloroparvula_pacifica";"ASV_382";"Chloroparvula";"Chloroparvula_pacifica"
"132";"ASV_56_Chloroparvula_pacifica";"ASV_56";"Chloroparvula";"Chloroparvula_pacifica"
"133";"ASV_835_Pelagomonas_calceolata";"ASV_835";"Pelagomonas";"Pelagomonas_calceolata"
"134";"ASV_112_Teleaulax_sp.";"ASV_112";"Teleaulax";"Teleaulax_sp."
"135";"ASV_3445_Guinardia_solstherfothii";"ASV_3445";"Guinardia";"Guinardia_solstherfothii"
"136";"ASV_353_Chrysochromulina_sp.";"ASV_353";"Chrysochromulina";"Chrysochromulina_sp."
"137";"ASV_274_Guinardia_delicatula";"ASV_274";"Guinardia";"Guinardia_delicatula"
"138";"ASV_1152_Minidiscus_variabilis";"ASV_1152";"Minidiscus";"Minidiscus_variabilis"
"139";"ASV_502_Pelagomonadaceae_clade_D1_sp.";"ASV_502";"Pelagomonadaceae_clade_D1";"Pelagomonadaceae_clade_D1_sp."
"140";"ASV_499_Chloroparvula_pacifica";"ASV_499";"Chloroparvula";"Chloroparvula_pacifica"
"141";"ASV_872_Chrysochromulina_sp.";"ASV_872";"Chrysochromulina";"Chrysochromulina_sp."
"142";"ASV_1231_Florenciella_parvula";"ASV_1231";"Florenciella";"Florenciella_parvula"
"143";"ASV_252_Chloroparvula_pacifica";"ASV_252";"Chloroparvula";"Chloroparvula_pacifica"
"144";"ASV_1218_Chrysophyceae_Clade-H_X_sp.";"ASV_1218";"Chrysophyceae_Clade-H_X";"Chrysophyceae_Clade-H_X_sp."
"145";"ASV_65_Chloroparvula_pacifica";"ASV_65";"Chloroparvula";"Chloroparvula_pacifica"
"146";"ASV_53_Pelagomonas_calceolata";"ASV_53";"Pelagomonas";"Pelagomonas_calceolata"
"147";"ASV_413_Leucocryptos_marina";"ASV_413";"Leucocryptos";"Leucocryptos_marina"
"148";"ASV_906_Micromonas_pusilla";"ASV_906";"Micromonas";"Micromonas_pusilla"
"149";"ASV_783_Leucocryptos_marina";"ASV_783";"Leucocryptos";"Leucocryptos_marina"
"150";"ASV_1254_Prymnesiophyceae_Clade_D_XX_sp.";"ASV_1254";"Prymnesiophyceae_Clade_D_XX";"Prymnesiophyceae_Clade_D_XX_sp."
"151";"ASV_28_Rhizosolenia_delicatula";"ASV_28";"Rhizosolenia";"Rhizosolenia_delicatula"
"152";"ASV_131_Thalassiosira_tenera";"ASV_131";"Thalassiosira";"Thalassiosira_tenera"
"153";"ASV_1405_Chrysochromulina_sp.";"ASV_1405";"Chrysochromulina";"Chrysochromulina_sp."
"154";"ASV_1153_Micromonas_bravo_B2";"ASV_1153";"Micromonas";"Micromonas_bravo_B2"
"155";"ASV_1694_Chrysochromulina_sp.";"ASV_1694";"Chrysochromulina";"Chrysochromulina_sp."
"156";"ASV_48_Chloroparvula_pacifica";"ASV_48";"Chloroparvula";"Chloroparvula_pacifica"
"157";"ASV_806_Hemiselmis_sp._nucl";"ASV_806";"Hemiselmis:nucl";"Hemiselmis_sp.:nucl"
"158";"ASV_969_Thalassiosira_rotula";"ASV_969";"Thalassiosira";"Thalassiosira_rotula"
