"";"Grouping";"species";"labelit";"rank";"abundance";"proportion";"plower";"pupper";"accumfreq";"logabun";"rankfreq"
"251";"Fla";"ASV_28_Rhizosolenia_delicatula";FALSE;93;78;0,1;-0,1;0,2;98,4;1,9;58,9
"252";"Fla";"ASV_985_Non_Assigned";FALSE;94;75;0,1;0;0,2;98,5;1,9;59,5
"253";"Fla";"ASV_446_Cylindrotheca_closterium";FALSE;95;70;0,1;0;0,2;98,5;1,8;60,1
"254";"Fla";"ASV_1388_Chloropicon_roscoffensis";FALSE;96;65;0,1;0;0,1;98,6;1,8;60,8
"255";"Fla";"ASV_736_Micromonas_pusilla";FALSE;97;62;0,1;0;0,1;98,7;1,8;61,4
"256";"Fla";"ASV_235_Crustomastigaceae_X_sp.";FALSE;98;60;0,1;0;0,1;98,7;1,8;62
"257";"Fla";"ASV_633_Pelagomonadaceae_clade_D1_sp.";FALSE;99;59;0,1;0;0,1;98,8;1,8;62,7
"258";"Fla";"ASV_1171_Non_Assigned";FALSE;100;56;0,1;0;0,1;98,8;1,7;63,3
"259";"Fla";"ASV_501_Chloroparvula_pacifica";FALSE;101;54;0,1;0;0,1;98,9;1,7;63,9
"260";"Fla";"ASV_455_Haptolina_sp.";FALSE;102;53;0,1;0;0,1;98,9;1,7;64,6
"261";"Fla";"ASV_885_Micromonas_pusilla";FALSE;103;52;0,1;0;0,1;99;1,7;65,2
"262";"Fla";"ASV_1317_Chrysochromulina_sp.";FALSE;104;47;0;0;0,1;99;1,7;65,8
"263";"Fla";"ASV_906_Micromonas_pusilla";FALSE;105;44;0;0;0,1;99,1;1,6;66,5
"264";"Fla";"ASV_910_Triparma_pacifica";FALSE;106;40;0;0;0,1;99,1;1,6;67,1
"265";"Fla";"ASV_1241_Chrysochromulina_sp.";FALSE;107;40;0;0;0,1;99,2;1,6;67,7
"266";"Fla";"ASV_1249_Non_Assigned";FALSE;108;39;0;0;0,1;99,2;1,6;68,4
"267";"Fla";"ASV_834_Chrysochromulina_sp.";FALSE;109;38;0;0;0,1;99,2;1,6;69
"268";"Fla";"ASV_1218_Chrysophyceae_Clade-H_X_sp.";FALSE;110;37;0;0;0,1;99,3;1,6;69,6
"269";"Fla";"ASV_1694_Chrysochromulina_sp.";FALSE;111;36;0;0;0,1;99,3;1,6;70,3
"270";"Fla";"ASV_642_Florenciella_parvula";FALSE;112;35;0;0;0,1;99,4;1,5;70,9
"271";"Fla";"ASV_690_Chloroparvula_pacifica";FALSE;113;35;0;0;0,1;99,4;1,5;71,5
"272";"Fla";"ASV_1312_Brockmanniella brockmannii";FALSE;114;33;0;0;0,1;99,4;1,5;72,2
"273";"Fla";"ASV_1631_Florenciellales_X_sp.";FALSE;115;33;0;0;0,1;99,5;1,5;72,8
"274";"Fla";"ASV_806_Hemiselmis_sp._nucl";FALSE;116;31;0;0;0,1;99,5;1,5;73,4
"275";"Fla";"ASV_1164_Pelagomonadaceae_clade_C_sp.";FALSE;117;31;0;0;0,1;99,5;1,5;74,1
"276";"Fla";"ASV_1004_Pelagomonadaceae_clade_C_sp.";FALSE;118;30;0;0;0,1;99,5;1,5;74,7
"277";"Fla";"ASV_1166_Non_Assigned";FALSE;119;29;0;0;0,1;99,6;1,5;75,3
"278";"Fla";"ASV_1431_Brockmanniella_brockmannii";FALSE;120;29;0;0;0,1;99,6;1,5;75,9
"279";"Fla";"ASV_1054_Hemiselmis_sp._nucl";FALSE;121;26;0;0;0,1;99,6;1,4;76,6
"280";"Fla";"ASV_1347_Pelagomonadaceae_clade_C_sp.";FALSE;122;25;0;0;0,1;99,7;1,4;77,2
"281";"Fla";"ASV_1363_Micromonas_pusilla";FALSE;123;24;0;0;0;99,7;1,4;77,8
"282";"Fla";"ASV_1364_Chrysophyceae_Clade-H_X_sp.";FALSE;124;22;0;0;0,1;99,7;1,3;78,5
"283";"Fla";"ASV_872_Chrysochromulina_sp.";FALSE;125;22;0;0;0,1;99,7;1,3;79,1
"284";"Fla";"ASV_1480_Triparma_laevis_clade";FALSE;126;19;0;0;0,1;99,7;1,3;79,7
"285";"Fla";"ASV_537_Hemiselmis_sp._nucl";FALSE;127;19;0;0;0,1;99,8;1,3;80,4
"286";"Fla";"ASV_606_Chrysochromulina_sp.";FALSE;128;18;0;0;0,1;99,8;1,3;81
"287";"Fla";"ASV_2113_Rhizosolenia_imbricata";FALSE;129;17;0;0;0;99,8;1,2;81,6
"288";"Fla";"ASV_1907_Rhodomonas_sp.";FALSE;130;16;0;0;0;99,8;1,2;82,3
"289";"Fla";"ASV_1405_Chrysochromulina_sp.";FALSE;131;14;0;0;0;99,8;1,1;82,9
"290";"Fla";"ASV_2601_Chloroparvula_B3_sp.";FALSE;132;13;0;0;0;99,8;1,1;83,5
"291";"Fla";"ASV_577_Chlorodendrales_XX_sp.";FALSE;133;13;0;0;0;99,9;1,1;84,2
