;Grouping;species;labelit;rank;abundance;proportion;plower;pupper;accumfreq;logabun;rankfreq
83;Hu;ASV_510_Chloroparvula_pacifica;FALSE;21;70;0,9;0,2;1,5;97,4;1,8;67,7
94;Pc;ASV_30 Picochlorum sp.;TRUE;1;2104;19,1;15,6;22,5;19,1;3,3;3,2
95;Pc;ASV_51 Picochlorum sp.;TRUE;2;1774;16,1;14,3;17,8;35,1;3,2;6,5
96;Pc;ASV_59 Picochlorum sp.;TRUE;3;1610;14,6;13,2;16;49,7;3,2;9,7
97;Pc;ASV_29 C. pacifica;TRUE;4;880;8;4,8;11,2;57,7;2,9;12,9
98;Pc;ASV_48 C. pacifica;TRUE;5;669;6,1;3,5;8,6;63,8;2,8;16,1
99;Pc;ASV_56 C. pacifica;TRUE;6;614;5,6;3,7;7,4;69,3;2,8;19,4
100;Pc;ASV_65 C. pacifica;TRUE;7;435;3,9;2,1;5,8;73,3;2,6;22,6
101;Pc;ASV_60 Pycnococcaceae X sp.;TRUE;8;392;3,6;1,7;5,4;76,8;2,6;25,8
102;Pc;ASV_78 C. pacifica;TRUE;9;376;3,4;1,8;5;80,3;2,6;29
103;Pc;ASV_192 C. pacifica;TRUE;10;344;3,1;1,6;4,6;83,4;2,5;32,3
104;Pc;ASV_86_Chloroparvula_pacifica;FALSE;11;313;2,8;1,7;4;86,2;2,5;35,5
105;Pc;ASV_252_Chloroparvula_pacifica;FALSE;12;278;2,5;1,2;3,8;88,7;2,4;38,7
106;Pc;ASV_300_Chloroparvula_pacifica;FALSE;13;258;2,3;1,3;3,4;91,1;2,4;41,9
107;Pc;ASV_84_Pycnococcaceae_X_sp.;FALSE;14;240;2,2;-0,6;5;93,2;2,4;45,2
108;Pc;ASV_94_Pycnococcaceae_X_sp.;FALSE;15;205;1,9;-0,4;4,2;95,1;2,3;48,4
109;Pc;ASV_140_Pycnococcaceae_X_sp.;FALSE;16;105;1;-0,4;2,3;96;2;51,6
110;Pc;ASV_404_Chloroparvula_pacifica;FALSE;17;76;0,7;0,4;1;96,7;1,9;54,8
111;Pc;ASV_510_Chloroparvula_pacifica;FALSE;18;59;0,5;0,3;0,8;97,3;1,8;58,1
112;Pc;ASV_443_Chlorodendrales_XX_sp.;FALSE;19;54;0,5;-1;1,9;97,8;1,7;61,3
113;Pc;ASV_452_Chloroparvula_pacifica;FALSE;20;51;0,5;0,3;0,6;98,2;1,7;64,5
114;Pc;ASV_181_Chloropicon_laureae;FALSE;21;49;0,4;-0,6;1,5;98,7;1,7;67,7
