"";"Grouping";"species";"labelit";"rank";"abundance";"proportion";"plower";"pupper";"accumfreq";"logabun";"rankfreq"
"44";"Fla";"ASV_140_Pycnococcaceae_X_sp.";FALSE;13;764;3,3;0,7;5,8;87,6;2,9;41,9
"45";"Fla";"ASV_86_Chloroparvula_pacifica";FALSE;14;740;3,2;2,4;3,9;90,8;2,9;45,2
"46";"Fla";"ASV_192_Chloroparvula_pacifica";FALSE;15;402;1,7;1,2;2,3;92,5;2,6;48,4
"47";"Fla";"ASV_252_Chloroparvula_pacifica";FALSE;16;282;1,2;0,9;1,5;93,7;2,5;51,6
"48";"Fla";"ASV_300_Chloroparvula_pacifica";FALSE;17;246;1,1;0,8;1,4;94,8;2,4;54,8
"49";"Fla";"ASV_404_Chloroparvula_pacifica";FALSE;18;228;1;0,7;1,2;95,7;2,4;58,1
"50";"Fla";"ASV_452_Chloroparvula_pacifica";FALSE;19;205;0,9;0,5;1,2;96,6;2,3;61,3
"51";"Fla";"ASV_510_Chloroparvula_pacifica";FALSE;20;160;0,7;0,5;0,9;97,3;2,2;64,5
"52";"Fla";"ASV_597_Chloropicon_sieburthii";FALSE;21;145;0,6;0,4;0,8;97,9;2,2;67,7
"53";"Fla";"ASV_382_Chloroparvula_pacifica";FALSE;22;106;0,5;0,3;0,6;98,4;2;71
"54";"Fla";"ASV_722_Chloroparvula_pacifica";FALSE;23;102;0,4;0,3;0,6;98,8;2;74,2
"55";"Fla";"ASV_499_Chloroparvula_pacifica";FALSE;24;78;0,3;0,2;0,4;99,1;1,9;77,4
"56";"Fla";"ASV_1388_Chloropicon_roscoffensis";FALSE;25;65;0,3;0;0,5;99,4;1,8;80,6
"57";"Fla";"ASV_501_Chloroparvula_pacifica";FALSE;26;54;0,2;0,1;0,3;99,7;1,7;83,9
"58";"Fla";"ASV_690_Chloroparvula_pacifica";FALSE;27;35;0,2;0,1;0,2;99,8;1,5;87,1
"59";"Fla";"ASV_577_Chlorodendrales_XX_sp.";FALSE;28;13;0,1;-0,1;0,2;99,9;1,1;90,3
"60";"Fla";"ASV_2601_Chloroparvula_B3_sp.";FALSE;29;13;0,1;0;0,1;99,9;1,1;93,5
"61";"Fla";"ASV_443_Chlorodendrales_XX_sp.";FALSE;30;10;0;0;0,1;100;1;96,8
"62";"Fla";"ASV_2202_Non_Assigned";FALSE;31;9;0;0;0,1;100;1;100
"63";"Hu";"ASV_29_Chloroparvula_pacifica";TRUE;1;1120;13,7;6,6;20,8;13,7;3;3,2
"64";"Hu";"ASV_48_Chloroparvula_pacifica";TRUE;2;832;10,2;4,4;16;24;2,9;6,5
"65";"Hu";"ASV_30_Picochlorum_sp.";TRUE;3;784;9,6;3,6;15,6;33,6;2,9;9,7
"66";"Hu";"ASV_56_Chloroparvula_pacifica";TRUE;4;665;8,2;2,7;13,6;41,8;2,8;12,9
"67";"Hu";"ASV_65_Chloroparvula_pacifica";TRUE;5;551;6,8;4,1;9,4;48,5;2,7;16,1
"68";"Hu";"ASV_60_Pycnococcaceae_X_sp.";TRUE;6;514;6,3;1;11,6;54,8;2,7;19,4
"69";"Hu";"ASV_78_Chloroparvula_pacifica";TRUE;7;455;5,6;3,1;8,1;60,4;2,7;22,6
"70";"Hu";"ASV_86_Chloroparvula_pacifica";TRUE;8;374;4,6;1,3;7,8;65;2,6;25,8
"71";"Hu";"ASV_59_Picochlorum_sp.";TRUE;9;336;4,1;1,3;7;69,1;2,5;29
"72";"Hu";"ASV_51_Picochlorum_sp.";TRUE;10;316;3,9;1,7;6;73;2,5;32,3
"73";"Hu";"ASV_443_Chlorodendrales_XX_sp.";FALSE;11;316;3,9;-4,6;12,4;76,9;2,5;35,5
"74";"Hu";"ASV_94_Pycnococcaceae_X_sp.";FALSE;12;312;3,8;-0,2;7,9;80,7;2,5;38,7
"75";"Hu";"ASV_84_Pycnococcaceae_X_sp.";FALSE;13;297;3,6;-0,6;7,9;84,4;2,5;41,9
"76";"Hu";"ASV_577_Chlorodendrales_XX_sp.";FALSE;14;262;3,2;-3,8;10,3;87,6;2,4;45,2
"77";"Hu";"ASV_192_Chloroparvula_pacifica";FALSE;15;204;2,5;1,3;3,7;90,1;2,3;48,4
"78";"Hu";"ASV_252_Chloroparvula_pacifica";FALSE;16;143;1,8;1;2,5;91,8;2,2;51,6
"79";"Hu";"ASV_181_Chloropicon_laureae";FALSE;17;139;1,7;0,5;3;93,5;2,1;54,8
"80";"Hu";"ASV_404_Chloroparvula_pacifica";FALSE;18;90;1,1;0,2;2;94,6;2;58,1
"81";"Hu";"ASV_140_Pycnococcaceae_X_sp.";FALSE;19;81;1;-0,5;2,4;95,6;1,9;61,3
"82";"Hu";"ASV_452_Chloroparvula_pacifica";FALSE;20;74;0,9;0,2;1,6;96,6;1,9;64,5
"83";"Hu";"ASV_510_Chloroparvula_pacifica";FALSE;21;70;0,9;0,2;1,5;97,4;1,8;67,7
"84";"Hu";"ASV_300_Chloroparvula_pacifica";FALSE;22;69;0,8;0,3;1,4;98,3;1,8;71
"85";"Hu";"ASV_722_Chloroparvula_pacifica";FALSE;23;49;0,6;0,2;1;98,9;1,7;74,2
"86";"Hu";"ASV_597_Chloropicon_sieburthii";FALSE;24;40;0,5;-0,4;1,3;99,3;1,6;77,4
"87";"Hu";"ASV_2202_Non_Assigned";FALSE;25;14;0,2;0;0,4;99,5;1,1;80,6
"88";"Hu";"ASV_382_Chloroparvula_pacifica";FALSE;26;12;0,1;-0,1;0,3;99,7;1,1;83,9
"89";"Hu";"ASV_501_Chloroparvula_pacifica";FALSE;27;9;0,1;0;0,2;99,8;1;87,1
"90";"Hu";"ASV_1388_Chloropicon_roscoffensis";FALSE;28;6;0,1;0;0,2;99,9;0,8;90,3
"91";"Hu";"ASV_690_Chloroparvula_pacifica";FALSE;29;6;0,1;0;0,2;99,9;0,8;93,5
"92";"Hu";"ASV_2601_Chloroparvula_B3_sp.";FALSE;30;5;0,1;0;0,2;100;0,7;96,8
"93";"Hu";"ASV_499_Chloroparvula_pacifica";FALSE;31;1;0;0;0;100;0;100
"94";"Pc";"ASV_30_Picochlorum_sp.";TRUE;1;2104;19,1;15,6;22,5;19,1;3,3;3,2
"95";"Pc";"ASV_51_Picochlorum_sp.";TRUE;2;1774;16,1;14,3;17,8;35,1;3,2;6,5
"96";"Pc";"ASV_59_Picochlorum_sp.";TRUE;3;1610;14,6;13,2;16;49,7;3,2;9,7
"97";"Pc";"ASV_29_Chloroparvula_pacifica";TRUE;4;880;8;4,8;11,2;57,7;2,9;12,9
"98";"Pc";"ASV_48_Chloroparvula_pacifica";TRUE;5;669;6,1;3,5;8,6;63,8;2,8;16,1
"99";"Pc";"ASV_56_Chloroparvula_pacifica";TRUE;6;614;5,6;3,7;7,4;69,3;2,8;19,4
"100";"Pc";"ASV_65_Chloroparvula_pacifica";TRUE;7;435;3,9;2,1;5,8;73,3;2,6;22,6
"101";"Pc";"ASV_60_Pycnococcaceae_X_sp.";TRUE;8;392;3,6;1,7;5,4;76,8;2,6;25,8
"102";"Pc";"ASV_78_Chloroparvula_pacifica";TRUE;9;376;3,4;1,8;5;80,3;2,6;29
"103";"Pc";"ASV_192_Chloroparvula_pacifica";TRUE;10;344;3,1;1,6;4,6;83,4;2,5;32,3
"104";"Pc";"ASV_86_Chloroparvula_pacifica";FALSE;11;313;2,8;1,7;4;86,2;2,5;35,5
"105";"Pc";"ASV_252_Chloroparvula_pacifica";FALSE;12;278;2,5;1,2;3,8;88,7;2,4;38,7
"106";"Pc";"ASV_300_Chloroparvula_pacifica";FALSE;13;258;2,3;1,3;3,4;91,1;2,4;41,9
"107";"Pc";"ASV_84_Pycnococcaceae_X_sp.";FALSE;14;240;2,2;-0,6;5;93,2;2,4;45,2
"108";"Pc";"ASV_94_Pycnococcaceae_X_sp.";FALSE;15;205;1,9;-0,4;4,2;95,1;2,3;48,4
"109";"Pc";"ASV_140_Pycnococcaceae_X_sp.";FALSE;16;105;1;-0,4;2,3;96;2;51,6
"110";"Pc";"ASV_404_Chloroparvula_pacifica";FALSE;17;76;0,7;0,4;1;96,7;1,9;54,8
"111";"Pc";"ASV_510_Chloroparvula_pacifica";FALSE;18;59;0,5;0,3;0,8;97,3;1,8;58,1
"112";"Pc";"ASV_443_Chlorodendrales_XX_sp.";FALSE;19;54;0,5;-1;1,9;97,8;1,7;61,3
"113";"Pc";"ASV_452_Chloroparvula_pacifica";FALSE;20;51;0,5;0,3;0,6;98,2;1,7;64,5
"114";"Pc";"ASV_181_Chloropicon_laureae";FALSE;21;49;0,4;-0,6;1,5;98,7;1,7;67,7
"115";"Pc";"ASV_722_Chloroparvula_pacifica";FALSE;22;37;0,3;0,2;0,5;99;1,6;71
"116";"Pc";"ASV_577_Chlorodendrales_XX_sp.";FALSE;23;27;0,2;-0,5;1;99,2;1,4;74,2
"117";"Pc";"ASV_382_Chloroparvula_pacifica";FALSE;24;16;0,1;0;0,3;99,4;1,2;77,4
"118";"Pc";"ASV_597_Chloropicon_sieburthii";FALSE;25;16;0,1;-0,3;0,6;99,5;1,2;80,6
"119";"Pc";"ASV_499_Chloroparvula_pacifica";FALSE;26;13;0,1;0;0,3;99,7;1,1;83,9
"120";"Pc";"ASV_501_Chloroparvula_pacifica";FALSE;27;13;0,1;0;0,2;99,8;1,1;87,1
"121";"Pc";"ASV_1388_Chloropicon_roscoffensis";FALSE;28;12;0,1;-0,1;0,3;99,9;1,1;90,3
"122";"Pc";"ASV_690_Chloroparvula_pacifica";FALSE;29;9;0,1;-0,1;0,3;100;1;93,5
"123";"Pc";"ASV_2601_Chloroparvula_B3_sp.";FALSE;30;3;0;-0,1;0,1;100;0,5;96,8
"124";"Pc";"ASV_2202_Non_Assigned";FALSE;31;1;0;0;0;100;0;100
