;names;codes
279;Fragilariaceae_sp;RCC5366_MH764829
280;Fragilariopsis_sp;RCC5367_MH764830
281;Fragilariopsis_sp;RCC5369_MH764831
282;Fragilariopsis_sp;RCC5370_MH764832
283;Fragilariopsis_sp;RCC5371_MH764833
284;Navicula_sp;RCC5374_MH764835
285;Naviculales_sp;RCC5376_MH764836
286;Naviculales_sp;RCC5377_MH764837
287;Naviculales_sp;RCC5378_MH764838
288;Naviculales_sp;RCC5380_MH764839
289;Naviculales_sp;RCC5382_MH764840
290;Naviculales_sp;RCC5386_MH764844
291;Naviculales_sp;RCC5387_MH764845
292;Nitzschia_sp;RCC5388_MH764846
293;Nitzschia_sp;RCC5389_MH764847
294;Nitzschia_sp;RCC5390_MH764848
295;Nitzschia_sp;RCC5391_MH764849
296;Nitzschia_sp;RCC5392_MH764850
297;Nitzschia_sp;RCC5395_MH764851
298;Synedra_sp;RCC5404_MH764858
299;Fragilariopsis_sp;RCC5406_MH764860
300;Fragilariales_sp;RCC5408_MH764861
301;Nitzschia_sp;RCC5458_MH764905
302;Bacillariophyta_sp;RCC5459_MH764906
303;Fallacia_sp;RCC5460_MH764907
304;Fragilariopsis_sp;RCC5461_MH764908
305;Fragilariopsis_sp;RCC5462_MH764909
306;Cylindrotheca_sp;RCC5463_MH764910
307;Fragilariopsis_sp;RCC5464_MH764911
308;Fragilariopsis_sp;RCC5465_MH764912
309;Amphora_sp;RCC5466_MH764913
310;Cylindrotheca_sp;RCC5467_MH764914
311;Fragilariopsis_sp;RCC5468_MH764915
312;Pseudo-nitzschia_sp;RCC5469_MH764916
313;Nitzschia_sp;RCC5489_MH764933
314;Fragilariopsis_sp;RCC5491_MH764935
315;Fragilariopsis_sp;RCC5501_MH764944
316;Fragilariopsis_sp;RCC5507_MH764949
317;Fragilariopsis_sp;RCC5508_MH764950
318;Fragilariopsis_sp;RCC5511_MH764953
319;Bacillariophyta_sp;RCC5512_MH764954
320;Fragilariopsis_sp;RCC5515_MH764956
321;Synedra_sp;RCC5535_MH764976
322;Fragilaria_sp;RCC5536_MH764977
323;Fragilariales_sp;RCC5537_MH764978
324;Fragilaria_sp;RCC5538_MH764979
325;Naviculales_sp;RCC5539_MH764980
326;Fragilaria_sp;RCC5541_MH764982
327;Fragilaria_sp;RCC5549_MH764988
328;Synedra_sp;RCC5551_MH764990
329;Fragilaria_sp;RCC5553_MH764992
330;Naviculales_sp;RCC5562_MH764999
331;Naviculales_sp;RCC5564_MH765001
332;Naviculales_sp;RCC5566_MH765003
333;Synedra_sp;RCC5575_MH765012
334;Fragilariopsis_sp;RCC5582_MH765019
335;Synedra_sp;RCC5592_MH765028
336;Fragilariaceae_sp;RCC5595_MH765030
337;Naviculales_sp;RCC5601_MH765035
338;Fragilariaceae_sp;RCC5603_MH765036
339;Cylindrotheca_closterium;RCC6042_MK542674
340;Pseudo-nitzschia_sp;RCC6055_MK542683
341;Fragilariopsis_sp;RCC6059_MK542684
342;Pseudo-nitzschia_sp;RCC6061_MK542686
343;Fragilariopsis_sp;RCC6062_MK542687
344;Pseudo-nitzschia_sp;RCC6063_MK542688
345;Fragilariopsis_sp;RCC6064_MK542689
346;Pseudo-nitzschia_sp;RCC6065_MK542690
347;Pseudo-nitzschia_sp;RCC6066_MK542691
348;Fragilariopsis_sp;RCC6067_MK542692
349;Pseudo-nitzschia_sp;RCC6068_MK542693
350;Pseudo-nitzschia_sp;RCC6069_MK542694
351;Fragilariopsis_sp;RCC6072_MK542697
352;Fragilariopsis_sp;RCC6073_MK542698
353;Fragilariopsis_sp;RCC6074_MK542699
354;Fragilariopsis_sp;RCC6853_MN824004
