Species;RCC;Genbank_accession;Keep;Status
Pelagomonas_calceolata;RCC850;KT860985;Yes;Cryopreserved
Pelagomonas_calceolata;RCC855;EU106740;No;Lost
Pelagomonas_calceolata;RCC858;KT861044;Yes;Cryopreserved
Pelagomonas_calceolata;RCC860;EU106744;No;Lost
Pelagomonas_calceolata;RCC864;KT861045;No;Lost
Pelagomonas_calceolata;RCC865;EU106747;No;Lost
Pelagomonas_calceolata;RCC869;EU106750;Yes;Cryopreserved
Pelagomonas_calceolata;RCC871;EU106752;Yes;Cryopreserved
Pelagomonas_calceolata;RCC873;KT861046;Yes;Distributed
Pelagomonas_calceolata;RCC875;EU106753;No;Lost
Pelagophyceae_XXX_sp;RCC877;KT861047;No;Lost
Pelagomonas_calceolata;RCC878;KT861048;No;Lost
Pelagomonas_calceolata;RCC879;EU106754;Yes;Distributed
Pelagomonas_calceolata;RCC880;EU106755;Yes;Cryopreserved
Pelagomonas_calceolata;RCC881;EU106756;Yes;Cryopreserved
Pelagomonas_calceolata;RCC883;EU106758;No;Lost
Pelagomonas_calceolata;RCC884;EU106759;Yes;Cryopreserved
Pelagomonas_calceolata;RCC888;KT861138;Yes;Distributed
Pelagomonas_calceolata;RCC915;EU106767;Yes;Distributed
Pelagomonadaceae_clade_D2_sp;RCC919;KT861049;No;Lost
Pelagomonas_calceolata;RCC924;KT860988;Yes;Cryopreserved
Pelagomonas_calceolata;RCC926;EU106774;Yes;Distributed
Pelagomonas_calceolata;RCC937;EU106784;Yes;Cryopreserved
Pelagomonas_calceolata;RCC938;EU106785;Yes;Cryopreserved
Pelagomonas_calceolata;RCC939;EU106786;Yes;Cryopreserved
Pelagomonas_calceolata;RCC943;EU106789;Yes;Cryopreserved
Pelagomonas_calceolata;RCC949;KT861050;No;Lost
Pelagomonas_calceolata;RCC953;EU106796;Yes;Cryopreserved
Pelagomonas_calceolata;RCC954;KT861051;Yes;Cryopreserved
Pelagomonas_calceolata;RCC968;EU106802;No;Lost
Pelagomonas_calceolata;RCC969;EU106803;Yes;Distributed
Pelagomonas_calceolata;RCC969;KT861109;Yes;Distributed
Pelagomonas_calceolata;RCC970;EU106804;No;Lost
Pelagomonas_calceolata;RCC971;EU106805;Yes;Cryopreserved
Pelagomonas_calceolata;RCC972;EU106806;Yes;Distributed
Pelagomonas_calceolata;RCC973;EU106807;No;Lost
Pelagomonas_calceolata;RCC974;EU106808;Yes;Cryopreserved
Pelagomonas_calceolata;RCC975;EU106809;Yes;Distributed
Pelagomonas_calceolata;RCC976;EU106810;No;Lost
Pelagomonas_calceolata;RCC977;EU106811;No;Lost
Pelagomonas_calceolata;RCC979;EU106812;Yes;Cryopreserved
Pelagomonas_calceolata;RCC980;EU106813;Yes;Cryopreserved
Pelagomonas_calceolata;RCC981;EU106814;Yes;Distributed
Pelagomonas_calceolata;RCC982;KT861052;No;Lost
Pelagomonas_calceolata;RCC984;KT861053;Yes;Cryopreserved
Pelagomonas_calceolata;RCC985;EU106816;Yes;Cryopreserved
Pelagomonas_calceolata;RCC985;EU106815;Yes;Cryopreserved
Pelagomonadaceae_clade_C_sp;RCC986;EU106817;Yes;Distributed
Pelagomonas_calceolata;RCC988;EU106818;Yes;Distributed
Pelagomonas_calceolata;RCC989;KT861054;No;Lost
Pelagomonas_calceolata;RCC990;KT861078;Yes;Cryopreserved
Pelagomonas_calceolata;RCC991;KT861079;Yes;Cryopreserved
Pelagomonas_calceolata;RCC995;EU106821;Yes;Distributed
Pelagomonas_calceolata;RCC1010;EU106831;No;Lost
Pelagomonas_calceolata;RCC1013;EU106832;No;Lost
Pelagomonadaceae_clade_C_sp;RCC1024;EU106834;Yes;Distributed
Pelagomonadaceae_clade_C_sp;RCC1024;KT861111;Yes;Distributed
Pelagomonas_calceolata;RCC1035;KT861039;Yes;Cryopreserved
Pelagomonas_calceolata;RCC1036;KT861055;No;Lost
Pelagomonas_calceolata;RCC1037;KT861040;No;Cryopreserved
Pelagomonas_calceolata;RCC1046;KT861041;Yes;Cryopreserved
Pelagomonas_calceolata;RCC1050;KT861062;Yes;Cryopreserved
Pelagomonas_calceolata;RCC1051;KT861063;Yes;Distributed
Pelagomonas_calceolata;RCC1052;KT861056;Yes;Distributed
Pelagomonas_calceolata;RCC1053;KT878687;No;Lost
Pelagomonas_calceolata;RCC1061;EU106841;Yes;Distributed
Pelagomonas_calceolata;RCC1062;EU106842;Yes;Cryopreserved
Ankylochrysis_sp;RCC2040;JF794050;Yes;Distributed
Pelagomonas_calceolata;RCC2362;KT861095;Yes;Distributed
Ankylochrysis_sp1;RCC2491;KT861206;Yes;Distributed
Ankylochrysis_sp;RCC2492;JN934687;No;NotDistributed
Ankylochrysis_sp2;RCC2493;KT860993;Yes;Distributed
Ankylochrysis_sp2;RCC2494;KT860994;Yes;Distributed
Ankylochrysis_sp2;RCC2495;KT861199;No;NotDistributed
Ankylochrysis_sp2;RCC2496;KT860995;Yes;Distributed
Ankylochrysis_sp;RCC2505;JN934690;Yes;Distributed
Ankylochrysis_sp;RCC2505;KT860996;Yes;Distributed
Ankylochrysis_sp2;RCC2511;KT861000;No;Lost
Ankylochrysis_sp2;RCC2511;KT861225;No;Lost
Ankylochrysis_sp;RCC2515;KT861129;Yes;Distributed
Arachnochrysis_demoulinii;RCC2696;KT861121;Yes;Distributed
Chrysoreinhardia_sp;RCC2956;KT861126;Yes;Distributed
Pelagococcus_sp;RCC3069;KT861026;Yes;Distributed
Aureococcus_anophagefferens;RCC4094;KT585674;Yes;Distributed
Pelagomonas_calceolata;RCC4417;KX523138;Yes;Distributed
Pelagomonas_calceolata;RCC4419;KX523139;Yes;Distributed
Pelagomonas_calceolata;RCC4420;KX523140;Yes;Distributed
Pelagococcus_subviridis;RCC4422;KX523141;Yes;Distributed
