"";"Species";"RCC";"Genbank_accession";"Keep";"Status"
"1067";"Pelagomonadales_clade_B_X_sp";"RCC5670";"MH764642";"Yes";"Distributed"
"1068";"Pelagomonadaceae_clade_C_sp";"RCC5671";"MH764654";"Yes";"Distributed"
"1069";"Pelagococcus_sp";"RCC5672";"MH764643";"Yes";"Distributed"
"1070";"Pelagomonadaceae_clade_C_sp";"RCC5673";"MH764655";"Yes";"Distributed"
"1071";"Pelagomonadaceae_clade_C_sp";"RCC5674";"MH764656";"Yes";"Distributed"
"1072";"Pelagomonadaceae_clade_C_sp";"RCC5676";"MH764657";"Yes";"Distributed"
"1073";"";"RCC5677";"MH764658";"No";"NotFound"
"1074";"Pelagomonadaceae_clade_C_sp";"RCC5678";"MH764659";"Yes";"Distributed"
"1075";"Pelagomonadaceae_clade_C_sp";"RCC5679";"MH764660";"Yes";"Distributed"
"1076";"Pelagococcus_sp";"RCC5693";"MH764644";"Yes";"Distributed"
"1077";"Pelagococcus_subviridis";"RCC5694";"MH764645";"Yes";"Distributed"
"1078";"Pelagophyceae_XXX_sp";"RCC5695";"MH764646";"Yes";"Distributed"
"1079";"Pelagococcus_subviridis";"RCC5696";"MH764647";"Yes";"Distributed"
"1080";"Pelagomonadaceae_clade_C_sp";"RCC5698";"MH764662";"Yes";"Distributed"
"1081";"Pelagococcus_subviridis";"RCC5715";"MH764648";"Yes";"Distributed"
"1082";"Pelagococcus_sp";"RCC5720";"MH764649";"Yes";"Distributed"
"1083";"Pelagococcus_sp";"RCC5724";"MH764650";"Yes";"Distributed"
"1084";"Pelagomonas_calceolata";"RCC5725";"MH764653";"Yes";"Distributed"
"1085";"Ankylochrysis_sp";"RCC6043";"MK542675";"Yes";"Distributed"
"1086";"Ankylochrysis_sp";"RCC6044";"MK542676";"Yes";"Distributed"
"1087";"Pelagococcus_subviridis";"RCC6126";"MN121034";"Yes";"Distributed"
"1088";"Pelagococcus_subviridis";"RCC6142";"MN121045";"Yes";"Distributed"
"1089";"Pelagococcus_subviridis";"RCC6145";"MN121047";"Yes";"Distributed"
"1090";"Pelagococcus_subviridis";"RCC6147";"MN121048";"Yes";"Distributed"
"1091";"Tetraselmis_sp";"RCC119";"KT860857";"Yes";"Distributed"
"1092";"Tetraselmis_sp";"RCC120";"KT860858";"Yes";"Distributed"
"1093";"Tetraselmis_sp";"RCC121";"KT860859";"Yes";"Distributed"
"1094";"Tetraselmis_sp";"RCC122";"KT860860";"Yes";"Distributed"
"1095";"Tetraselmis_sp";"RCC123";"KT860861";"Yes";"Distributed"
"1096";"Tetraselmis_sp";"RCC124";"KT860862";"Yes";"Distributed"
"1097";"Tetraselmis_sp";"RCC125";"KT860863";"Yes";"Distributed"
"1098";"Tetraselmis_sp";"RCC126";"KT860864";"Yes";"Distributed"
"1099";"Tetraselmis_sp";"RCC127";"KT860865";"Yes";"Distributed"
"1100";"Tetraselmis_chui";"RCC128";"KT860866";"Yes";"Distributed"
"1101";"Tetraselmis_chui";"RCC129";"KT860867";"Yes";"Distributed"
"1102";"Tetraselmis_striata";"RCC130";"KT860868";"Yes";"Distributed"
"1103";"Tetraselmis_striata";"RCC131";"KT860869";"Yes";"Distributed"
"1104";"Tetraselmis_rubens";"RCC132";"KT860870";"Yes";"Distributed"
"1105";"Tetraselmis_rubens";"RCC133";"KT860871";"Yes";"Distributed"
"1106";"Tetraselmis_sp";"RCC348";"KT860643";"Yes";"Distributed"
"1107";"Tetraselmis_sp";"RCC500";"AY425299";"Yes";"Distributed"
"1108";"Tetraselmis_sp";"RCC571";"KT860880";"Yes";"Distributed"
"1109";"Tetraselmis_convolutae";"RCC1563";"KT860913";"Yes";"Distributed"
"1110";"Tetraselmis_convolutae";"RCC1564";"KT860914";"Yes";"Distributed"
"1111";"Tetraselmis_sp";"RCC1755";"KT860916";"No";"NotDistributed"
"1112";"Tetraselmis_sp";"RCC1761";"KT860726";"No";"NotDistributed"
"1113";"Tetraselmis_sp";"RCC1936";"KT860727";"No";"Lost"
"1114";"Tetraselmis_sp";"RCC1942";"KT860728";"No";"Lost"
"1115";"Tetraselmis_sp";"RCC1946";"KT860729";"No";"Lost"
"1116";"Tetraselmis_sp";"RCC1947";"KT860730";"No";"Lost"
"1117";"Tetraselmis_sp";"RCC1949";"KT860731";"No";"Lost"
"1118";"Tetraselmis_sp";"RCC1975";"KT860790";"Yes";"Distributed"
"1119";"Tetraselmis_sp";"RCC1976";"KT860791";"Yes";"Distributed"
"1120";"Tetraselmis_sp";"RCC2604";"KT860822";"Yes";"Distributed"
"1121";"Tetraselmis_sp";"RCC2628";"KT860824";"Yes";"Distributed"
"1122";"Tetraselmis_sp";"RCC2629";"KT860825";"Yes";"Distributed"
"1123";"Tetraselmis_sp";"RCC4435";"KX523151";"Yes";"Distributed"
"1124";"Tetraselmis_sp";"RCC479";"MH792111";"Yes";"Distributed"
"1125";"Tetraselmis_sp";"RCC4480";"KT878702";"Yes";"Distributed"
"1126";"Tetraselmis_sp";"RCC4481";"KT878703";"Yes";"Distributed"
"1127";"Tetraselmis_sp";"RCC4484";"KT878706";"Yes";"Distributed"
"1128";"Tetraselmis_sp";"RCC4485";"KT878707";"Yes";"Distributed"
"1129";"Tetraselmis_sp";"RCC4486";"KT878708";"Yes";"Distributed"
"1130";"Tetraselmis_sp";"RCC4489";"KT878711";"Yes";"Distributed"
"1131";"Tetraselmis_sp";"RCC4490";"KT878712";"Yes";"Distributed"
"1132";"Tetraselmis_sp";"RCC4491";"KT878713";"Yes";"Distributed"
"1133";"Tetraselmis_sp";"RCC6047";"MK542679";"Yes";"Distributed"
"1134";"Pycnococcus_provasolii";"RCC117";"X91264";"No";"Lost"
"1135";"Pycnococcus_provasolii";"RCC135";"AF122889";"Yes";"Distributed"
"1136";"Pycnococcus_sp";"RCC345";"KT878666";"No";"Lost"
"1137";"Pycnococcus_provasolii";"RCC432";"KT860637";"Yes";"Cryopreserved"
"1138";"Pycnococcus_provasolii";"RCC444";"KT860639";"Yes";"Cryopreserved"
"1139";"Pycnococcus_provasolii";"RCC459";"KT860651";"Yes";"Cryopreserved"
"1140";"Pycnococcus_provasolii";"RCC460";"KT860658";"Yes";"Cryopreserved"
"1141";"Pycnococcus_provasolii";"RCC519";"KT860670";"Yes";"Distributed"
"1142";"Pycnococcus_sp";"RCC521";"MH792100";"Yes";"Cryopreserved"
"1143";"Pycnococcus_provasolii";"RCC522";"KT860678";"Yes";"Cryopreserved"
"1144";"Pycnococcus_provasolii";"RCC581";"KT860810";"Yes";"Distributed"
"1145";"Pyramimonas_parkeae";"RCC619";"KT860881";"Yes";"Distributed"
"1146";"Pyramimonas_sp";"RCC669";"KT860677";"No";"Lost"
"1147";"Pycnococcus_provasolii";"RCC709";"KT860812";"Yes";"Cryopreserved"
"1148";"Pycnococcus_provasolii";"RCC730";"KT860682";"Yes";"Cryopreserved"
